Country_expertise,count
United States,120
Brazil,31
Argentina,23
United Kingdom,19
Australia,16
Germany,15
Chile,13
China,13
India,11
Malawi,11
Netherlands,10
Philippines,10
France,9
Kenya,9
Denmark,8
Austria,7
Italy,7
Russian Federation,7
Canada,6
Nigeria,6
Romania,6
South Africa,6
Spain,6
Afghanistan,5
Japan,5
Switzerland,5
Turkey,5
Egypt,4
Mexico,4
Pakistan,4
Singapore,4
Belgium,3
Ethiopia,3
New Zealand,3
Norway,3
Poland,3
Rwanda,3
Armenia,2
Congo {Democratic Rep},2
El Salvador,2
Greece,2
Hong Kong,2
Hungary,2
Indonesia,2
Ireland {Republic},2
Korea South,2
Morocco,2
"Myanmar, {Burma}",2
Sri Lanka,2
Zimbabwe,2
Antigua & Deps,1
Bahrain,1
Bangladesh,1
Colombia,1
Costa Rica,1
Ecuador,1
Finland,1
Georgia,1
Iran,1
Iraq,1
Portugal,1
Saudi Arabia,1
Serbia,1
Slovakia,1
Slovenia,1
Sweden,1
Syria,1
Tunisia,1
Ukraine,1
United Arab Emirates,1
Uruguay,1
