item,year,pct,lo,hi,n
Video,2024,72.0873786407767,67.5671560392361,76.19952381265254,412
Video,2025,63.6986301369863,59.094199724439434,68.06486323534473,438
Video,2026,67.23404255319149,62.86593728273151,71.32271315373933,470
Images,2024,67.47572815533981,62.80881417214816,71.81976768868682,412
Images,2025,61.18721461187214,56.54496962760077,65.63493178955628,438
Images,2026,63.40425531914894,58.95705893614909,67.63411362555047,470
Voices,2024,68.44660194174757,63.80628332259089,72.74610864162382,412
Voices,2025,60.273972602739725,55.621122403093636,64.74817481674448,438
Voices,2026,60.851063829787236,56.36754967647559,65.15863763537641,470
Text,2024,61.6504854368932,56.86822762493624,66.2174936156204,412
Text,2025,52.28310502283106,47.60594059015335,56.92056990314403,438
Text,2026,50.638297872340424,46.13152767652784,55.13471863593404,470
