item,year,pct,lo,hi,n
Availability of accurate information,2024,64.72019464720195,59.983641888328535,69.18412748706152,411
Availability of accurate information,2025,66.66666666666666,62.12387223742072,70.91965436364998,438
Availability of accurate information,2026,63.61702127659574,59.173431256295785,67.83982340955771,470
Diversity of voices,2024,42.33576642335766,37.651607985024825,47.16186746415225,411
Diversity of voices,2025,44.74885844748858,40.157935413964054,49.43109045145202,438
Diversity of voices,2026,47.02127659574468,42.5513971190235,51.53945342282107,470
Diversity of media ownership,2024,33.496332518337404,29.09451613581743,38.20527968269884,409
Diversity of media ownership,2025,41.0958904109589,36.58503754548638,45.761571530653924,438
Diversity of media ownership,2026,40.85106382978723,36.498661107178926,45.35180841420076,470
Absence of misinformation,2024,30.656934306569344,26.395607139630012,35.276497565435946,411
Absence of misinformation,2025,32.42009132420091,28.205796505612124,36.940072695998204,438
Absence of misinformation,2026,32.5531914893617,28.47326803591669,36.91599942345852,470
Absence of hateful content,2024,28.467153284671532,24.319553665633524,33.0135440249116,411
Absence of hateful content,2025,32.87671232876712,28.64283908238101,37.4083322178888,438
Absence of hateful content,2026,30.425531914893618,26.43856001082539,34.729886407010206,470
Absence of micro-targeted political ads,2024,9.7799511002445,7.264517810720414,13.043873480330342,409
Absence of micro-targeted political ads,2025,16.894977168949772,13.677089220357516,20.688508626830778,438
Absence of micro-targeted political ads,2026,16.382978723404253,13.31184857832277,19.999178965351394,470
Absence of AI-generated content,2024,5.109489051094891,3.365903668082256,7.684452534240621,411
Absence of AI-generated content,2025,11.415525114155251,8.766954792424164,14.735017870850465,438
Absence of AI-generated content,2026,9.361702127659575,7.047750026834604,12.334568079758848,470
